Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Minor in,HSS/BS elective
First Year(2023),,,,,,,,,,,,,,,,
FP 100,Foundation Programme,0,0,0,4,"Abinaya Sampath(I),Harmeet Singh(I),Krista R Khiangte(I),Sushobhan Sen(I), Prasanna Venkatesh(I)
",,,,,,,,,,
ES 1XX,Engineering Graphics,1.5,0,1.5,3,"TBD,Sameer Patel(T)",,360,,"E2
(Jasubhai Auditorium)",,"I1,J1,I2
(7/108,7/109)
I1,J1,I2,K2
(1/101,1/102)
",,,,
ES 112,Computing,1.5,0,1.5,3,"Yogesh Meena(I+L),Shouvick Mondal(I+L),Anirban Dasgupta(L)",,360,,"F1
(Jasubhai Auditorium)",,"K1,L1,M1
(7/108,7/109)",,,,
ES 117,The World of Engineering,0,0,3,2,TBD,,360,,,,"J2,M2
(Jasubhai Auditorium)",,,,
ES 118,Materials for the Future,1.5,0,1.5,3,Amit Arora(I),,360,,"F2
(Jasubhai Auditorium)",,"H1,N1,P1
(MSE Lab)",,,,
HS 191,Introduction to Writing I,1,0,3,2,"Jooyoung Kim(I),Monal Desai(L),Nivid Desai(L),Devapreeta Jena(L)",,360,,"G2
(7/106,7/207,7/208,5/203,7/107,7/105,7/104,7/103)",,"A1,A2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204,7/205)",,,,
MA 103,Calculus of Single Variable and Linear Algebra,3,1.5,0,4,"Projesh Nath Choudhury(I+T),Sanjay Amrutiya(T),Indranath Sengupta(T),Rohit Kumar Mishra(T)",,360,,"C1,C2
(Jasubhai Auditorium)","H2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204,7/205)",,,,,
HS 221,Introduction to Philosophy,3,0,0,4,Jaison Manjaly(I),,600,,"D1,D2
(Jasubhai Auditorium)",,,,,,
PE 101,Physical Education,0,0,0,0,,,,,,,,,,,
IN 101,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,
Second Year(2022),,,,,,,,,,,,,,,,
ES 243,Biology for Engineers,3,1,0,4,"Ashutosh Srivastava(I+T),Umashankar Sing(I+T),Umashankar Singh(T), Ashutosh Srivastava(T), Vijay Thiruvenkatam(T), Bhaskar Datta(T),Karla P. Mercado-Shekhar(T),Subramanian Sankaranarayanan(T), Mukesh Dhanka(T),Sudipta Basu(T)
",,299,,"G1,G2
(Jasubhai Auditorium)","F1
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204)",,,,,
GE 201,"General Education II
(Half Semester Course - First Half)",3,0,0,2,TBD,,300,,"A1,A2
(Jasubhai Auditorium)",,,,,,
HS 221,Introduction to Philosophy,3,0,0,4,Jaison Manjaly(I),,600,,"D1,D2
(Jasubhai Auditorium)",,,,,,
MA 203,"Numerical Methods
(Half Semester Course - First Half)",3,1.5,0,2,Akshaa Vatwani(I+T),,300,,"B1,B2
(Jasubhai Auditorium)","H1
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204)",,,,,
MA 204,"Introduction to Partial Differential Equations
(Half Semester Course - Second Half)",3,1.5,0,2,Rohit Kumar Mishra(I+T),,150,,"B1,B2
(1/103)","H1
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204)",,,,,
ES XXX,Science Basket Course,-,-,-,4,TBD,,,,TBD,TBD,,,,,
ES 2XX,"Engineering Thermodynamics*
(Subject to Revision)",2,1,0,3,Atul Bhargav(I+T),,50,,"E1,E2
(7/102)",,,,,,
ES 2XX,"Thermodynamics*
(Subject to Revision)",3,1.5,0,4,Kaustubh Rane(I+T),,40,,"E1,E2
(5/203)","F2
(7/101)",,,,,
ES 2XX,"Materials Thermodynamics*
(Subject to Revision)",3,1,0,4,Raghavan Ranganathan(I+T),,,,"M1,M2
(7/202)","K1
(7/107)",,,,,
EE 221,Electronic Devices,2,1,0,3,Jhuma Saha(I+T),,55,,"C1,C2
(7/209)",,,,,,
CE 201,"Earth Materials and Processes
(Half Semester Course)",1.5,0,3,2,Utsav Mannu(I+L),,29,,"E1,E2
(7/206)",,"I1,K1
(7/202)",,,,
CL 2XX,Chemical Process Calculations,2,1,0,3,Sameer Dalvi(I+T),,45,,"C1,C2
(7/208)",,,,,,
ES 242(N),Data Structures and Algorithms I,3,0,1.5,4,Balagopal Komarath(I+L),,105,,"P1,P2
(1/101)",,"K2
(7/108,7/109)",,,,
ES 2XX,"Signals, Systems and Random Processes",3,1,0,4,Nithin George(I+T),,40,,"E1,E2
(7/202)","I1
(7/107)",,,,,
ES 2XX,Mechanics of Solids,3,1,0,4,TBD,,80,,"C1,C2
(7/102)","F2
(7/104,7/105)",,,,,
ES 214,Discrete Mathematics,3,1,0,4,Anirban Dasgupta(I+T),,90,,"L1,L2
(1/101)","H2
(1/101)",,,,,
CE 2XX,Geospatial Engineering,1,0,3,3,Vimal Mishra(I+L),,40,,"B1
(5/203)",,"I2,M1
(5/202)",,,,
EE 331,Electrical Machines,2,1,1.5,4,Ragavan K(I+T+L),,60,,"I1,I2
(5/203)",,"K2,L2,N2,J1,L1
(EE Lab)",,,,
ES 2XX,Structures and Defects,3,1,0,4,Abhijit Mishra(I+T),,40,,"E1,E2
(5/202)","F2
(7/201)",,,,,
ES 2XX,Transport Phenomena in Materials Engineering,3,1,0,4,Sriharitha Rowthu(I+T),,40,,"I1,I2
(7/207)","K2
(7/205)",,,,,
ES 2XX,Statics and Dynamics,3,1,0,4,TBD,,40,,"I1,I2
(7/206)","F2
(7/103)",,,,,
ES 321,Dynamics and Vibrations,3,1,0,4,Jayaprakash K. R.(I+T),,63,,"C1,C2
(5/202)","M1
(7/208)",,,,,
PE 103,Physical Education,0,0,0,0,,,245,,,,,,,,
