Course Code,Course Name,L,T,P,C,Instructor,,Number of Students,Sections,Lecture,Tutorial,Lab,,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
First Year UG [BTech/BTech-MTech] (2023 Batch),,,,,,,,,,,,,,,,,
GE 101,General Education I,3,0,0,2,TBD,,,,"P1,P2
(Central Arcade)",,,,,,,
MA 104,"Ordinary Differential Equations
(First Half of the Semester)",3,1.5,0,2,Jagmohan Tyagi(I+T),,,,"E1,E2
(Jasubhai Auditorium)","H1
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204,7/205)",,Course Plan,,,,
ES 113,Data-Centric Computing,1.5,0,1.5,3,"Manoj Gupta(I+L),Mayank Singh(I+L)",,,"Section1:N1
Section2:N1
Section3:N2
Section4:L1
Section5:N2","C1
(Jasubhai Auditorium)",,"N1,P1,N2,P2
(7/108,7/109)",Course Webpage,,,,
ES 114,"Probability, Statistics, and Data Visualization",1.5,0,1.5,3,Shanmuganathan Raman(I+L),,,,"D1
(Jasubhai Auditorium)",,"A2,B2
(7/109,1/101,1/102)",Course Plan,,,,
ES 115,"Design, Innovation, and Prototyping",1.5,0,3,5,"Madhu Vadali(L+P), Manasi Kanetkar(L+P)",,,"Section1:J1,L1
Section2:K2,L2
Section3:I2,M1
Section4:J2,M2
Section5:I1,K1","D2
(Jasubhai Auditorium)",,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
(1/101)",,,,,
ES 116,Principles and Applications of Electrical Engineering,3,1,1.5,5,Arup Chakraborty(I+T+L),,,"Section1:I2
Section2:J2
Section3:K2
Section4:I1
Section5:J1","F1,F2
(Jasubhai Auditorium)","H2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204,7/205)","I1,J1,I2,K2,J2
(EE Lab)",Course plan,,,,
BS 192,Undergraduate Science Laboratory,0,0,3,3,"Gopinadhan Kalon(L),Naveen Sisodia(L),Priyabrata Ghana(L),Saumyakanti Khatua(L),Krista Khaingte(L), GTF(L)",,,"Section1:K2,L2
Section2:J1,L1
Section3:I1,K1
Section4:I2,M1
Section5:J2,M2",,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
(PH Lab)",,,,,
HS 192,Introduction to Writing II,1,3,0,2,"Jooyoung Kim(I+T),Haritha Kadapa(GTF), Shalini Singh(GTF), Khushboo Sahrawat(GTF),Monal Desia, Nivid Desai, Akanksha Verma, Rashmi Shaju",,,,"C2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204,7/205,7/206)
J1
(7/107)
J2
(7/107)","G1,G2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204,7/205,7/206)
K1,K2
(7/107)
L1,L2
(10/101)",,Course plan,,,,
PE 102,Physical Education,0,0,0,0,,,,,,,,,,,,
IN 102,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Second Year B Tech (2022 Batch),,,,,,,,,,,,,,,,,
CS 201,Theory of Computing,3,1,0,4,Balagopal Komarath(I+T),,,,"G1,G2
(1/101)","I2
(1/102)",,Course Plan,,,AI/CS,
HS 201,World Civilizations and Cultures,3,0,0,4,"Madhumita Sengupta(I),V N Prabhakar(I),Sharada CV(I)",,,,"E1,E2
(1/102,10/201,1/101)",,,Course Plan,,,,
PH 201,"Introduction to Electrodynamics
(Science Basket)",3,1,0,4,"Chandan Kumar Mishra(I+T),Arpan Bhattacharyya(T)",,,,"L1,L2
(7/209)","M1
(7/210,7/103)",,Course Plan,,,,BS
CE 202,Sustainability and Environment,1,0,3,3,Sameer Patel(I+L),,,,"D1
(7/202)",,"L2,N2
(7/107)",,,,,
CH 203,"Fundamentals and Applications of Spectroscopy
(Science Basket)",3,0,0,4,Saumyakanti Khatua(I),,,,"P1,P2
(7/203)",,,Course Plan,,,,BS
CL 202,Chemical Engineering Thermodynamics,2,1,0,3,Pratyush Dayal(I+T),,,,"A1,A2
(7/103)",,,Course Plan,,,,
CL 203,Process Fluid Mechanics,2,1,0,3,Prachi Thareja(I+T),,,,"G1,G2
(10/101)",,,course plan,,,,
MSE 203,Introduction to Computational Materials Engineering,3,1,0,4,Raghavan Ranganathan(I+T),,,,"F1,F2
(7/210)","I2
(7/207)",,Course Plan,,,,
CL 204,Heat Transfer,2,1,0,3,Biswajit Saha(I+T),,,,"F1,F2
(10/101)",,,,,,,
ES 204,Digital Systems,2,1,1.5,4,Joycee Mekie(I+T+L),,,,"F1,F2
(10/103)",,"A1,B1,A2
(7/108)",Course plan,,,AI/CS,
CL 205,Chemical Reaction Engineering - I,2,1,0,3,Kabeer Jasuja(I+T),,,,"D1,D2
(10/101)",,,"Course Plan , Link for Google Classroom ",,,,
MA 205,"Calculus of Several Variables
(First Half of the Semester) (Mathematics Basket)",3,1.5,0,2,Indranath Sengupta(I+T),,,,"C1,C2
(7/208)","I1
(7/208)",,,,,,
MSE 205,Mechanical Behavior of Materials,3,1,1.5,4,Pradipta Ghosh(I+T+L),,,,"H1,H2
(7/203)",,"L2
(MSE Lab)",,,,,
MA 206,"Introduction to Complex Analysis
(Second Half of the Semester) (Mathematics Basket)",3,1.5,0,2,Atul Dixit(I+T),,,,"C1,C2
(7/209)","I1
(7/209)",,Course plan,,,,
MSE 206,Physics of Materials,3,0,0,4,Abhay Gautam(I),,,,"G1,G2
(7/207)",,,,,,,
ME 207,Fluid Dynamics,3,1.5,1.5,5,"Dilip Sundaram(I),Uddipta Ghosh(T+L),Ganeskumar V(T)",,,,"G1,G2
(10/201)","I2
(7/106,7/102)","K1
(10/101)",,,,,
ME 208,Vibrations,3,1,0,2,Jayaprakash K. R.(I+T),,,,"F1,F2
(10/202)","J1
(10/102)",,,,,,
MSE 210,Microstructural Engineering,3,0,1.5,4,Prafull Pandey(I+L),,,,"D1,D2
(7/101)",,"J1
(MSE Lab)",,,,,
ES 212,Fluid Mechanics,3,1.5,0,4,Pranab Mohapatra(I+T),,,,"F1,F2
(7/101)","J1
(7/206)",,,,,,
ES 221,Mechanics of Solids,3,1.5,0,4,"Harmeet Singh(I),Harini Subramanian(T),Ravi Ayyagari(T)",,,,"D1,D2
(1/101)","J2
(7/210,7/105)",,course_plan,,,,
EE 224,Power Systems,3,1.5,0,4,Naran Pindoriya(I+T),,,,"G1,G2
(10/102)","H1
(10/102)",,,,,,
ES 245,Control Systems,3,1.5,0,4,"Nithin George(I+T),S. Rajendran (T)",,,,"D1,D2
(10/102)","B2
(10/102,10/101)",,,,,AI/Robotics,
ME 209,Principles of Manufacturing Processes,3,0,0,3,"Madhu Vadali(I+T+L),Prof. Ramakrishnan(I+T+L)",,,,"H1,H2
(1/101)",,,,,,,
